"","strain","hit_score.methylmalonyl-CoA-decarboxylaseBeta-KOK20509","hit_id.methylmalonyl-CoA-decarboxylaseBeta-KOK20509","description.methylmalonyl-CoA-decarboxylaseBeta-KOK20509","hit_score.methylmalonyl-CoA-decarboxylaseGamma-KOK23351","hit_id.methylmalonyl-CoA-decarboxylaseGamma-KOK23351","description.methylmalonyl-CoA-decarboxylaseGamma-KOK23351","hit_score.methylmalonyl-CoA-epimerase-EC5-1-99-1","hit_id.methylmalonyl-CoA-epimerase-EC5-1-99-1","description.methylmalonyl-CoA-epimerase-EC5-1-99-1","hit_score.methylmalonyl-CoA-decarboxylaseAlpha-KOK01604","hit_id.methylmalonyl-CoA-decarboxylaseAlpha-KOK01604","description.methylmalonyl-CoA-decarboxylaseAlpha-KOK01604","hit_score.methylmalonyl-CoA-decarboxylaseDelta-KOK23352","hit_id.methylmalonyl-CoA-decarboxylaseDelta-KOK23352","description.methylmalonyl-CoA-decarboxylaseDelta-KOK23352","hit_score.methylmalonyl-CoA-mutase-EC5-4-99-2","hit_id.methylmalonyl-CoA-mutase-EC5-4-99-2","description.methylmalonyl-CoA-mutase-EC5-4-99-2","hit_score.methylmalonyl-CoA-carboxyltransferase12S-KOK17489","hit_id.methylmalonyl-CoA-carboxyltransferase12S-KOK17489","description.methylmalonyl-CoA-carboxyltransferase12S-KOK17489","hit_score.methylmalonyl-CoA-carboxyltransferase1-3S-KOK17490","hit_id.methylmalonyl-CoA-carboxyltransferase1-3S-KOK17490","description.methylmalonyl-CoA-carboxyltransferase1-3S-KOK17490","hit_score.methylmalonyl-CoA-carboxyltransferase5S-KOK03416","hit_id.methylmalonyl-CoA-carboxyltransferase5S-KOK03416","description.methylmalonyl-CoA-carboxyltransferase5S-KOK03416","pathway","hit_score.acrC","hit_id.acrC","description.acrC","hit_score.lcdC","hit_id.lcdC","description.lcdC","hit_score.pct","hit_id.pct","description.pct","hit_score.lcdB","hit_id.lcdB","description.lcdB","hit_score.lcdA","hit_id.lcdA","description.lcdA","hit_score.Roseburia-inulivorans-pduCDE","hit_id.Roseburia-inulivorans-pduCDE","hit_score.pduW","hit_id.pduW","hit_score.pduP","hit_id.pduP","hit_score.fucO","hit_id.fucO","hit_score.pduL","hit_id.pduL","hit_score.pduC","hit_id.pduC","hit_score.pduD","hit_id.pduD","hit_score.pduE","hit_id.pduE"
"90","Propionibacterium_freudenreichii",NA,NA,NA,111.6,"NZ_LT593929.1_446/2-122","Propionibacterium_freudenreichii_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",175.7,"NZ_LT593929.1_1184/2-147","Propionibacterium_freudenreichii_methylmalonyl-CoA-epimerase-EC5-1-99-1",790.4,"NZ_LT593929.1_444/13-523","Propionibacterium_freudenreichii_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",NA,NA,NA,776.7,"NZ_LT593929.1_1457/35-719","Propionibacterium_freudenreichii_methylmalonyl-CoA-mutase-EC5-4-99-2",904.5,"NZ_LT593929.1_444/11-523","Propionibacterium_freudenreichii_methylmalonyl-CoA-carboxyltransferase12S-KOK17489",173.1,"NZ_LT593929.1_446/1-122","Propionibacterium_freudenreichii_methylmalonyl-CoA-carboxyltransferase1-3S-KOK17490",1003.9,"NZ_LT593929.1_443/10-505","Propionibacterium_freudenreichii_methylmalonyl-CoA-carboxyltransferase5S-KOK03416","Wood-Werkman Cycle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","Propionibacterium_jensenii",NA,NA,NA,NA,NA,NA,184.8,"NZ_CP040635.1_2156/3-152","Propionibacterium_jensenii_methylmalonyl-CoA-epimerase-EC5-1-99-1",787.5,"NZ_CP040635.1_413/13-523","Propionibacterium_jensenii_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",NA,NA,NA,774.5,"NZ_CP040635.1_204/32-726","Propionibacterium_jensenii_methylmalonyl-CoA-mutase-EC5-4-99-2",902.8,"NZ_CP040635.1_413/11-524","Propionibacterium_jensenii_methylmalonyl-CoA-carboxyltransferase12S-KOK17489",176,"NZ_CP040635.1_411/1-121","Propionibacterium_jensenii_methylmalonyl-CoA-carboxyltransferase1-3S-KOK17490",1016.5,"NZ_CP040635.1_414/1-497","Propionibacterium_jensenii_methylmalonyl-CoA-carboxyltransferase5S-KOK03416","Wood-Werkman Cycle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","Propionimicrobium_lymphophilum",NA,NA,NA,NA,NA,NA,162.6,"NZ_KE150269.1_1049/4-144","Propionimicrobium_lymphophilum_methylmalonyl-CoA-epimerase-EC5-1-99-1",784.6,"NZ_KE150269.1_351/6-518","Propionimicrobium_lymphophilum_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",NA,NA,NA,775.2,"NZ_KE150269.1_1716/35-719","Propionimicrobium_lymphophilum_methylmalonyl-CoA-mutase-EC5-4-99-2",846.4,"NZ_KE150269.1_351/1-517","Propionimicrobium_lymphophilum_methylmalonyl-CoA-carboxyltransferase12S-KOK17489",147.5,"NZ_KE150269.1_353/1-120","Propionimicrobium_lymphophilum_methylmalonyl-CoA-carboxyltransferase1-3S-KOK17490",998.4,"NZ_KE150269.1_350/14-507","Propionimicrobium_lymphophilum_methylmalonyl-CoA-carboxyltransferase5S-KOK03416","Wood-Werkman Cycle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","Selenomonas_noxia",545.7,"NZ_JH376857.1_559/4-374","Selenomonas_noxia_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",159.8,"NZ_JH376857.1_408/1-132","Selenomonas_noxia_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",207.7,"NZ_JH376857.1_411/1-137","Selenomonas_noxia_methylmalonyl-CoA-epimerase-EC5-1-99-1",902.2,"NZ_JH376857.1_410/3-509","Selenomonas_noxia_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",107.7,"NZ_JH376857.1_560/1-114","Selenomonas_noxia_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",778,"NZ_JH376857.1_517/16-710","Selenomonas_noxia_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","Selenomonas_ruminantium",559.1,"NZ_AUJE01000018.1_6/4-375","Selenomonas_ruminantium_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",146.2,"NZ_AUJE01000006.1_21/1-127","Selenomonas_ruminantium_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",199.7,"NZ_AUJE01000006.1_18/1-137","Selenomonas_ruminantium_methylmalonyl-CoA-epimerase-EC5-1-99-1",897.5,"NZ_AUJE01000006.1_19/3-509","Selenomonas_ruminantium_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",105.6,"NZ_AUJE01000018.1_5/1-113","Selenomonas_ruminantium_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",791.3,"NZ_AUJE01000031.1_7/19-709","Selenomonas_ruminantium_methylmalonyl-CoA-mutase-EC5-4-99-2",680.2,"NZ_AUJE01000006.1_19/3-507","Selenomonas_ruminantium_methylmalonyl-CoA-carboxyltransferase12S-KOK17489",NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","Tannerella_forsythia",611.3,"NC_016610.1_857/9-385","Tannerella_forsythia_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",193.8,"NC_016610.1_858/1-143","Tannerella_forsythia_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",238.3,"NC_016610.1_861/1-132","Tannerella_forsythia_methylmalonyl-CoA-epimerase-EC5-1-99-1",936,"NC_016610.1_860/3-517","Tannerella_forsythia_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",83.5,"NC_016610.1_859/178-288","Tannerella_forsythia_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",828.2,"NC_016610.1_2329/14-711","Tannerella_forsythia_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","Tissierella_praeacuta",594.5,"NZ_UHHZ01000001.1_2453/6-392","Tissierella_praeacuta_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",151,"NZ_UHHZ01000001.1_2454/1-132","Tissierella_praeacuta_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",233.7,"NZ_UHHZ01000001.1_2457/4-132","Tissierella_praeacuta_methylmalonyl-CoA-epimerase-EC5-1-99-1",891.8,"NZ_UHHZ01000001.1_2456/2-514","Tissierella_praeacuta_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",95.6,"NZ_UHHZ01000001.1_2455/7-116","Tissierella_praeacuta_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",605.9,"NZ_UHHZ01000001.1_2460/7-556","Tissierella_praeacuta_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","Veillonella-sp-3-1-44-MAF-2",562.4,"1_1225/2-371","Veillonella-sp-3-1-44-MAF-2_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",150.1,"1_1226/1-126","Veillonella-sp-3-1-44-MAF-2_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",205.5,"1_1230/2-139","Veillonella-sp-3-1-44-MAF-2_methylmalonyl-CoA-epimerase-EC5-1-99-1",889.6,"1_1229/3-509","Veillonella-sp-3-1-44-MAF-2_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",107.9,"1_1228/1-112","Veillonella-sp-3-1-44-MAF-2_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",803.3,"1_1822/17-721","Veillonella-sp-3-1-44-MAF-2_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","Veillonella-sp-6-1-27-MAF-2",562.7,"1_1303/2-371","Veillonella-sp-6-1-27-MAF-2_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",150.1,"1_1304/1-126","Veillonella-sp-6-1-27-MAF-2_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",205.5,"1_1308/2-139","Veillonella-sp-6-1-27-MAF-2_methylmalonyl-CoA-epimerase-EC5-1-99-1",889.4,"1_1307/3-509","Veillonella-sp-6-1-27-MAF-2_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",106.5,"1_1306/1-113","Veillonella-sp-6-1-27-MAF-2_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",803.3,"1_1819/17-721","Veillonella-sp-6-1-27-MAF-2_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","Veillonella_atypica",559,"NZ_CABKSO010000001.1_662/2-371","Veillonella_atypica_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",149.3,"NZ_CABKSO010000001.1_663/1-126","Veillonella_atypica_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",203.5,"NZ_CABKSO010000001.1_667/2-139","Veillonella_atypica_methylmalonyl-CoA-epimerase-EC5-1-99-1",887.6,"NZ_CABKSO010000001.1_666/3-509","Veillonella_atypica_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",109.6,"NZ_CABKSO010000001.1_665/1-113","Veillonella_atypica_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",803,"NZ_CABKSO010000001.1_1317/17-723","Veillonella_atypica_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","Veillonella_dispar",561.2,"NZ_LR134375.1_607/2-371","Veillonella_dispar_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",150.4,"NZ_LR134375.1_606/1-126","Veillonella_dispar_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",205.6,"NZ_LR134375.1_602/2-139","Veillonella_dispar_methylmalonyl-CoA-epimerase-EC5-1-99-1",888.1,"NZ_LR134375.1_603/3-509","Veillonella_dispar_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",108.1,"NZ_LR134375.1_604/1-112","Veillonella_dispar_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",803.6,"NZ_LR134375.1_1843/17-721","Veillonella_dispar_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","Veillonella_parvula",562.7,"NZ_LT906445.1_1241/2-371","Veillonella_parvula_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",150.1,"NZ_LT906445.1_1242/1-126","Veillonella_parvula_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",205.5,"NZ_LT906445.1_1246/2-139","Veillonella_parvula_methylmalonyl-CoA-epimerase-EC5-1-99-1",889.1,"NZ_LT906445.1_1245/3-509","Veillonella_parvula_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",106.8,"NZ_LT906445.1_1244/1-113","Veillonella_parvula_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",803.3,"NZ_LT906445.1_1763/17-721","Veillonella_parvula_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","Veillonella_ratti",562.3,"NZ_RQUX01000011.1_10/2-371","Veillonella_ratti_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",149.4,"NZ_RQUX01000011.1_9/1-130","Veillonella_ratti_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",206.3,"NZ_RQUX01000011.1_5/2-139","Veillonella_ratti_methylmalonyl-CoA-epimerase-EC5-1-99-1",887.6,"NZ_RQUX01000011.1_6/3-509","Veillonella_ratti_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",95.5,"NZ_RQUX01000011.1_7/8-110","Veillonella_ratti_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",799.9,"NZ_RQUX01000030.1_10/17-723","Veillonella_ratti_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","Veillonella_rogosae",559.8,"NZ_PPCX01000012.1_70/2-371","Veillonella_rogosae_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",151.4,"NZ_PPCX01000012.1_71/1-126","Veillonella_rogosae_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",204.9,"NZ_PPCX01000012.1_75/2-139","Veillonella_rogosae_methylmalonyl-CoA-epimerase-EC5-1-99-1",887.5,"NZ_PPCX01000012.1_74/3-509","Veillonella_rogosae_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",105.8,"NZ_PPCX01000012.1_73/1-112","Veillonella_rogosae_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",803.4,"NZ_PPCX01000010.1_348/16-722","Veillonella_rogosae_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","Coprococcus_catus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"acrylate pathway",427.6,"NZ_JAAXCM010000047.1_6/1-378","Coprococcus_catus_acrC",404.1,"NZ_JAAXCM010000039.1_58/1-258","Coprococcus_catus_lcdC",791,"NZ_JAAXCM010000039.1_56/3-521","Coprococcus_catus_pct",674.3,"NZ_JAAXCM010000039.1_60/1-375","Coprococcus_catus_lcdB",809.7,"NZ_JAAXCM010000039.1_59/4-418","Coprococcus_catus_lcdA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","Fusobacterium_necrophorum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"acrylate pathway",555.5,"NZ_VZOZ01000008.1_95/11-376","Fusobacterium_necrophorum_acrC",398.5,"NZ_VZOZ01000005.1_150/1-258","Fusobacterium_necrophorum_lcdC",873,"NZ_VZOZ01000008.1_100/3-518","Fusobacterium_necrophorum_pct",715.8,"NZ_VZOZ01000005.1_152/3-374","Fusobacterium_necrophorum_lcdB",888.4,"NZ_VZOZ01000005.1_151/4-421","Fusobacterium_necrophorum_lcdA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","Megasphaera-elsdenii-14-14-MAF-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"acrylate pathway",413.7,"1_2291/2-377","Megasphaera-elsdenii-14-14-MAF-2_acrC",378.9,"1_1508/1-257","Megasphaera-elsdenii-14-14-MAF-2_lcdC",861.9,"1_1506/3-516","Megasphaera-elsdenii-14-14-MAF-2_pct",701.5,"1_1510/1-373","Megasphaera-elsdenii-14-14-MAF-2_lcdB",822.9,"1_1509/6-421","Megasphaera-elsdenii-14-14-MAF-2_lcdA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","Peptoniphilus_indolicus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"acrylate pathway",436.6,"NZ_UGTH01000001.1_254/1-374","Peptoniphilus_indolicus_acrC",391.7,"NZ_UGTH01000001.1_1297/1-260","Peptoniphilus_indolicus_lcdC",833.6,"NZ_UGTH01000001.1_1294/4-517","Peptoniphilus_indolicus_pct",695.5,"NZ_UGTH01000001.1_1299/1-372","Peptoniphilus_indolicus_lcdB",842.3,"NZ_UGTH01000001.1_1298/1-419","Peptoniphilus_indolicus_lcdA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","Blautia-wexlerae-DSM-19850-MAF-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"propanediol pathway",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1691.9,"1_1043/1-840",457.9,"1_1435/28-423",536.3,"1_1046/5-462",599.3,"1_157/1-380",207,"1_1052/28-210",NA,NA,NA,NA,NA,NA
"109","Enterocloster-asparagiformis-DSM-15981-MAF-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"propanediol pathway",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1209.9,"1_1608/54-649",452.8,"1_2042/2-402",495,"1_3953/37-476",595.8,"1_1655/1-380",208,"1_3032/6-180",NA,NA,NA,NA,NA,NA
"110","Enterocloster-bolteae-ATCC-BAA-613-MAF-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"propanediol pathway",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1538.4,"1_4667/9-834",497.8,"1_3052/2-395",592.4,"1_4671/8-471",598.8,"1_4191/1-380",215.8,"1_4673/6-205",NA,NA,NA,NA,NA,NA
"111","Roseburia-inulinivorans-strain-AF28-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"propanediol pathway",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1911,"NZ_QRTF01000007.1_5/1-843",464.6,"NZ_QRTF01000001.1_112/2-394",528.6,"NZ_QRTF01000007.1_16/5-463",609.2,"NZ_QRTF01000037.1_25/1-380",200.9,"NZ_QRTF01000007.1_10/10-209",NA,NA,NA,NA,NA,NA
"112","Salmonella-enterica-subsp-enterica-serovar-Typhimurium-str-LT2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"propanediol pathway",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1296.6,"NC_003197.2_825/9-600",870.7,"NC_003197.2_2036/1-404",993.1,"NC_003197.2_2030/1-464",817.7,"NC_003197.2_2934/1-382",437.8,"NC_003197.2_2026/1-210",1306.5,"NC_003197.2_2019/1-554",492.9,"NC_003197.2_2020/1-224",372.4,"NC_003197.2_2021/1-173"
"113","Veillonella-sp-3-1-44-MAF-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"propanediol pathway",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,682.1,"1_262/221-515",532.2,"1_1215/2-398",637.9,"1_1625/33-476",592.1,"1_1833/1-382",268.2,"1_1629/1-205",1014.6,"1_1643/1-553",NA,NA,NA,NA
